micron,-116.184961 43.595615|-116.181142 43.610794|-116.257261 43.650733|-116.191 43.5885|-116.178896 43.570084|-116.226597 43.608239|-116.223807 43.606577|-116.172186 43.591213|-116.14972 43.553932|-116.172257 43.568813|-116.177866 43.58407|-116.145 43.550957|-116.150272 43.555173|-116.172604 43.576942|-116.2191 43.5851|-116.182202 43.595807|-116.183231 43.582182|-116.141017 43.552006|-116.143041 43.542949|-116.156603 43.561229|-116.127766 43.545863|-116.178252 43.606288|-116.181559 43.579539|-116.226211 43.580173
logger creek,-116.184961 43.595615|-116.226647 43.600694|-116.599188 43.548501|-116.301945 43.585366
longfellow elementary,-116.2052 43.6322|-116.199689 43.630671|-116.205365 43.639823|-116.191779 43.624651|-116.198616 43.635283
bannock st,-116.238975 43.64253|-116.218352 43.623641|-116.2941 43.5741|-116.2052 43.6322
boise state,-116.181124 43.58612|-116.202478 43.591193|-116.193589 43.578982|-116.212702 43.609176|-116.204807 43.598032|-116.226597 43.608239|-116.20264 43.597133|-116.212732 43.60903|-116.188617 43.609793|-116.191 43.5885|-116.201105 43.593913|-116.214482 43.604378|-116.205933 43.614283|-116.191077 43.578031|-116.21358 43.607052|-116.196131 43.598419|-116.205804 43.602506|-116.184236 43.611636|-116.227745 43.603951|-116.20247 43.596435|-116.226211 43.580173|-116.177193 43.612894
se boise,-116.178896 43.570084|-116.18787 43.597064|-116.2052 43.6322|-116.182823 43.571934|-116.136732 43.561225|-116.15983 43.575094|-116.182643 43.595806|-116.167577 43.567084|-116.136335 43.562287|-116.191061 43.58622|-116.172604 43.576942|-116.182202 43.595807|-116.191 43.5885|-116.135294 43.562186|-116.181559 43.579539|-116.183493 43.584363
caldwell,-116.672187 43.609819|-116.7 43.6627|-116.42493 43.61332|-116.65103 43.625369|-116.5848 43.5834|-116.700125 43.647752|-116.682959 43.650376|-116.693988 43.664674|-116.623778 43.622376|-116.67755 43.658484|-116.813507 43.671876|-116.672171 43.61261|-116.672966 43.619691|-116.687722 43.628978|-116.670277 43.669929|-116.679925 43.656315|-116.668376 43.531779|-116.695034 43.660166|-116.671192 43.67228|-116.690469 43.628379|-116.662591 43.665594|-116.691396 43.659981|-116.664569 43.654102|-116.680834 43.656586|-116.688194 43.65286|-116.674182 43.671969|-116.692989 43.633488|-116.674289 43.648372|-116.676993 43.658403|-116.675942 43.65744|-116.694202 43.604044
parkcenter,-116.184961 43.595615|-116.191 43.5885|-116.153834 43.575098|-116.172604 43.576942
harris ranch,-116.148602 43.580829|-116.123343 43.567581|-116.360579 43.692654|-115.9711 43.5345|-116.143631 43.573092
ustick,-116.323285 43.631447|-116.34308 43.637187|-116.348476 43.629801|-116.3419 43.634|-116.4306 43.6498|-116.455881 43.63186|-116.281714 43.63017|-116.354773 43.628882|-116.377489 43.633787|-116.2951 43.633|-116.299164 43.62926|-116.314935 43.626085|-116.405189 43.643746|-116.357317 43.630236|-116.287558 43.63168|-116.3975 43.615
